Tiempo_s,Temperatura_C,Duty_Cycle_pct,Error_C
0.010003805160522461,20.48,94.8546,14.52
0.5023589134216309,20.46,94.9534,14.54
1.0085878372192383,20.47,94.9499,14.530000000000001
1.508028268814087,20.48,94.9648,14.52
2.002984046936035,20.51,94.9194,14.489999999999998
2.5099918842315674,20.54,94.6873,14.46
3.00224232673645,20.53,95.0,14.469999999999999
3.5084712505340576,20.57,94.9305,14.43
4.003163814544678,20.66,94.8716,14.34
4.5033628940582275,20.7,95.0,14.3
5.00952935218811,20.78,94.991,14.219999999999999
5.507790565490723,20.93,94.5566,14.07
6.0050599575042725,21.0,94.606,14.0
6.501498222351074,21.13,94.313,13.870000000000001
7.006608009338379,21.25,94.2104,13.75
7.503167390823364,21.38,93.9327,13.620000000000001
8.000045776367188,21.55,93.5118,13.45
8.501253604888916,21.67,93.2737,13.329999999999998
9.003133296966553,21.82,92.8686,13.18
9.500390768051147,21.99,92.4597,13.010000000000002
10.002525568008423,22.19,91.8215,12.809999999999999
10.500930309295654,22.42,91.0308,12.579999999999998
11.002673625946045,22.57,90.6907,12.43
11.501748323440552,22.78,89.9904,12.219999999999999
12.002831935882568,23.03,89.1128,11.969999999999999
12.503782510757446,23.19,88.6516,11.809999999999999
13.000401020050049,23.4,87.9442,11.600000000000001
13.502900838851929,23.6,87.3108,11.399999999999999
14.00128984451294,23.81,86.551,11.190000000000001
14.501452207565308,24.08,85.5676,10.920000000000002
15.002589464187622,24.27,84.9168,10.73
15.50141167640686,24.49,84.1459,10.510000000000002
16.002248525619507,24.77,83.0921,10.23
16.50194764137268,24.94,82.5007,10.059999999999999
17.00331425666809,25.21,81.4559,9.79
17.500125408172607,25.4,80.7977,9.600000000000001
18.003142595291138,25.62,79.9269,9.379999999999999
18.50823426246643,25.89,78.9097,9.11
19.001179933547974,26.07,78.2336,8.93
19.500772953033447,26.34,77.1238,8.66
20.000999689102173,26.54,76.4342,8.46
20.501925706863403,26.78,75.4522,8.219999999999999
21.005274057388306,27.06,74.3087,7.940000000000001
21.505427837371826,27.25,73.6282,7.75
