Tiempo_s,Temperatura_C,Duty_Cycle_pct,Error_C
0.00099945068359375,4.55,-49.911,0.4500000000000002
0.5003993511199951,4.53,-49.8028,0.46999999999999975
1.000286340713501,4.52,-49.7628,0.4800000000000004
1.5003409385681152,4.52,-49.7195,0.4800000000000004
2.0007166862487793,4.5,-49.5264,0.5
2.500159740447998,4.48,-49.4742,0.5199999999999996
3.0005643367767334,4.48,-49.4136,0.5199999999999996
3.632981061935425,4.51,-49.5532,0.4900000000000002
4.000057935714722,4.5,-49.4976,0.5
4.500091075897217,4.48,-49.3921,0.5199999999999996
5.000248432159424,4.51,-49.4795,0.4900000000000002
5.500508069992065,4.5,-49.3938,0.5
6.00015115737915,4.49,-49.3698,0.5099999999999998
6.500468969345093,4.51,-49.4036,0.4900000000000002
7.000442028045654,4.46,-49.1658,0.54
7.500066041946411,4.54,-49.5156,0.45999999999999996
8.000979900360107,4.54,-49.5173,0.45999999999999996
8.500209093093872,4.53,-49.434,0.46999999999999975
9.435081005096436,4.55,-49.4886,0.4500000000000002
9.628379583358765,4.53,-49.3685,0.46999999999999975
10.000207901000977,4.51,-49.2588,0.4900000000000002
10.500576496124268,4.53,-49.3824,0.46999999999999975
11.000193357467651,4.53,-49.3344,0.46999999999999975
11.500224113464355,4.54,-49.3799,0.45999999999999996
12.000887393951416,4.51,-49.2565,0.4900000000000002
12.500092267990112,4.51,-49.1346,0.4900000000000002
13.000892400741577,4.51,-49.1059,0.4900000000000002
13.500306844711304,4.53,-49.1834,0.46999999999999975
14.000864505767822,4.5,-48.994,0.5
14.50058889389038,4.48,-48.8883,0.5199999999999996
15.277281761169434,4.5,-49.0188,0.5
15.500043630599976,4.49,-48.9395,0.5099999999999998
16.00014591217041,4.5,-48.9752,0.5
16.500467777252197,4.52,-49.0278,0.4800000000000004
17.00087261199951,4.49,-48.8658,0.5099999999999998
17.500926971435547,4.47,-48.7425,0.5300000000000002
18.000717401504517,4.48,-48.7444,0.5199999999999996
18.500322818756104,4.58,-49.2127,0.41999999999999993
19.000521659851074,4.53,-48.9622,0.46999999999999975
19.50026512145996,4.5,-48.7979,0.5
