Tiempo_s,Temperatura_C,Duty_Cycle_pct,Error_C
0.009987831115722656,29.56,95.0,20.44
0.5016238689422607,29.61,94.9706,20.39
1.0087890625,29.59,95.0,20.41
1.5000224113464355,29.62,95.0,20.38
2.0015265941619873,29.61,95.0,20.39
2.502026081085205,29.61,95.0,20.39
3.0061326026916504,29.64,95.0,20.36
3.501927375793457,29.67,95.0,20.33
4.000210285186768,29.75,94.9252,20.25
4.508912801742554,29.81,94.9784,20.19
5.004134654998779,29.86,95.0,20.14
5.501751184463501,29.96,94.9656,20.04
6.004189729690552,30.03,95.0,19.97
6.50433087348938,30.11,95.0,19.89
7.00519871711731,30.26,94.9557,19.74
7.508037090301514,30.31,95.0,19.69
8.000027656555176,30.47,94.886,19.53
8.506341695785522,30.56,95.0,19.44
9.002431631088257,30.69,95.0,19.31
9.503532648086548,30.89,94.8852,19.11
10.00336217880249,30.98,95.0,19.02
10.506057262420654,31.12,95.0,18.88
11.003579139709473,31.36,94.7779,18.64
11.505409002304077,31.45,95.0,18.55
12.007474184036255,31.64,94.9462,18.36
12.501649856567383,31.76,95.0,18.24
13.000696659088135,31.92,95.0,18.08
13.50930404663086,32.15,94.824,17.85
14.009614706039429,32.29,95.0,17.71
14.504283905029297,32.47,94.7469,17.53
15.004024505615234,32.62,95.0,17.380000000000003
15.506980895996094,32.8,95.0,17.200000000000003
16.008199453353882,33.01,94.6816,16.990000000000002
16.50915241241455,33.15,95.0,16.85
17.008237838745117,33.31,95.0,16.689999999999998
17.508187532424927,33.53,94.9095,16.47
18.00359272956848,33.67,95.0,16.33
18.503500938415527,33.87,94.9489,16.130000000000003
19.002081155776978,34.04,95.0,15.96
19.502788066864014,34.21,95.0,15.79
20.00193214416504,34.43,94.8745,15.57
20.50544309616089,34.56,95.0,15.439999999999998
21.008089542388916,34.74,95.0,15.259999999999998
21.502156734466553,34.91,95.0,15.090000000000003
22.001253128051758,35.09,95.0,14.909999999999997
22.50624394416809,35.32,94.8278,14.68
23.000771284103394,35.46,95.0,14.54
23.5025577545166,35.63,94.9586,14.369999999999997
24.002572536468506,35.86,94.6792,14.14
24.50106978416443,35.98,95.0,14.020000000000003
25.002857208251953,36.18,94.804,13.82
25.50788116455078,36.35,95.0,13.649999999999999
26.004222869873047,36.51,94.9944,13.490000000000002
26.508188724517822,36.73,94.7604,13.270000000000003
27.001269102096558,36.86,95.0,13.14
27.506128787994385,37.03,95.0,12.969999999999999
28.003503799438477,37.29,94.566,12.71
28.504984855651855,37.37,94.9989,12.630000000000003
29.004644632339478,37.58,94.7197,12.420000000000002
29.50108551979065,37.7,95.0,12.299999999999997
30.00010371208191,37.88,95.0,12.119999999999997
30.50678586959839,38.1,94.7658,11.899999999999999
31.003144025802612,38.21,95.0,11.79
31.504397869110107,38.35,95.0,11.649999999999999
32.00270390510559,38.54,95.0,11.46
32.50270056724548,38.75,94.7912,11.25
33.00662088394165,38.93,94.7592,11.07
33.503639459609985,39.04,95.0,10.96
34.00281047821045,39.18,95.0,10.82
34.50295877456665,39.42,94.7749,10.579999999999998
35.00462770462036,39.55,94.9656,10.450000000000003
35.508700370788574,39.74,94.6476,10.259999999999998
36.007508277893066,39.87,94.9494,10.130000000000003
36.50561261177063,40.02,95.0,9.979999999999997
37.00409150123596,40.23,94.7878,9.770000000000003
37.506848096847534,40.34,95.0,9.659999999999997
38.00266623497009,40.48,94.9435,9.520000000000003
38.50948905944824,40.71,94.685,9.29
39.00964665412903,40.81,95.0,9.189999999999998
39.50465130805969,40.99,94.8208,9.009999999999998
40.004658937454224,41.12,95.0,8.880000000000003
40.50585722923279,41.26,95.0,8.740000000000002
41.00855326652527,41.49,94.7042,8.509999999999998
41.50434684753418,41.57,95.0,8.43
42.00089478492737,41.73,94.9196,8.270000000000003
42.503467082977295,41.87,95.0,8.130000000000003
43.00332856178284,42.03,95.0,7.969999999999999
43.50949811935425,42.23,94.7632,7.770000000000003
44.000731229782104,42.34,95.0,7.659999999999997
44.50708794593811,42.48,94.9897,7.520000000000003
45.000797271728516,42.66,94.8956,7.340000000000003
45.50139880180359,42.79,94.8828,7.210000000000001
46.00761842727661,42.95,94.6649,7.049999999999997
46.505685567855835,43.07,94.9237,6.93
47.00605344772339,43.21,94.9849,6.789999999999999
47.50201940536499,43.39,94.7925,6.609999999999999
48.007164001464844,43.49,94.9105,6.509999999999998
48.5006148815155,43.63,94.8568,6.369999999999997
49.00370478630066,43.76,94.9866,6.240000000000002
49.50182271003723,43.92,94.9985,6.079999999999998
50.00558400154114,44.12,94.5647,5.880000000000003
50.50000238418579,44.2,94.9703,5.799999999999997
51.00032830238342,44.36,94.8624,5.640000000000001
51.501147508621216,44.52,94.7883,5.479999999999997
52.00178146362305,44.62,94.9923,5.380000000000003
52.50002837181091,44.79,94.7086,5.210000000000001
53.00001811981201,44.9,94.9643,5.100000000000001
53.50119662284851,45.02,94.9513,4.979999999999997
54.003450870513916,45.22,94.6995,4.780000000000001
54.50269794464111,45.31,94.9041,4.689999999999998
55.00200390815735,45.44,94.8736,4.560000000000002
55.503692626953125,45.64,94.6315,4.359999999999999
56.00171661376953,45.66,94.9426,4.340000000000003
56.502795457839966,45.88,94.4764,4.119999999999997
57.00333786010742,45.99,94.5883,4.009999999999998
57.50137186050415,46.11,94.5456,3.8900000000000006
58.00139021873474,46.28,94.3043,3.719999999999999
58.5002281665802,46.38,94.3031,3.6199999999999974
59.00197172164917,46.56,93.867,3.4399999999999977
59.500590085983276,46.62,94.1743,3.3800000000000026
60.000619649887085,46.77,93.8942,3.229999999999997
60.50343346595764,46.94,93.5224,3.0600000000000023
61.00391864776611,47.04,93.4595,2.960000000000001
61.5026798248291,47.16,93.2709,2.8400000000000034
62.00345277786255,47.32,92.9388,2.6799999999999997
62.502686738967896,47.39,92.939,2.6099999999999994
63.00164270401001,47.56,92.4411,2.4399999999999977
63.50323939323425,47.65,92.3649,2.3500000000000014
64.00323104858398,47.77,92.0906,2.229999999999997
64.50354862213135,47.96,91.467,2.039999999999999
65.00380086898804,48.05,91.3303,1.9500000000000028
65.50105261802673,48.17,90.9668,1.8299999999999983
66.00380849838257,48.32,90.5163,1.6799999999999997
66.50194573402405,48.38,90.4529,1.6199999999999974
67.00141549110413,48.53,89.9316,1.4699999999999989
67.50166177749634,48.65,89.5599,1.3500000000000014
68.00259709358215,48.74,89.2801,1.259999999999998
68.5000901222229,48.94,88.4931,1.0600000000000023
69.00384473800659,48.99,88.3442,1.009999999999998
69.50223898887634,49.13,87.7761,0.8699999999999974
70.00366997718811,49.21,87.5333,0.7899999999999991
70.50396275520325,49.33,87.0333,0.6700000000000017
71.00109338760376,49.48,86.3882,0.5200000000000031
71.50336980819702,49.57,85.9816,0.4299999999999997
72.00259470939636,49.69,85.4376,0.3100000000000023
72.50168228149414,49.84,84.737,0.1599999999999966
73.00047826766968,49.87,84.591,0.13000000000000256
73.50340151786804,50.06,83.6753,-0.060000000000002274
74.00281381607056,50.12,83.3748,-0.11999999999999744
74.50326299667358,50.22,82.8346,-0.21999999999999886
75.00249576568604,50.37,82.2258,-0.36999999999999744
75.50090098381042,50.42,81.7324,-0.4200000000000017
76.00104117393494,50.53,81.1408,-0.5300000000000011
76.50339674949646,50.62,80.5875,-0.6199999999999974
77.00239133834839,50.73,79.9063,-0.7299999999999969
77.50094175338745,50.86,79.1708,-0.8599999999999994
78.00004053115845,50.91,78.7259,-0.9099999999999966
78.50287008285522,51.03,78.0537,-1.0300000000000011
79.0023741722107,51.17,77.1646,-1.1700000000000017
79.503249168396,51.2,76.8603,-1.2000000000000028
80.00315427780151,51.34,75.9794,-1.3400000000000034
80.50025534629822,51.41,75.4109,-1.4099999999999966
81.00057792663574,51.49,74.8175,-1.490000000000002
81.50098085403442,51.64,73.8157,-1.6400000000000006
82.00358939170837,51.68,73.3137,-1.6799999999999997
82.50122427940369,51.77,72.6754,-1.7700000000000031
83.00187468528748,51.87,71.861,-1.8699999999999974
83.50331401824951,51.92,71.3389,-1.9200000000000017
84.00145554542542,52.06,70.3989,-2.0600000000000023
84.50170540809631,52.1,69.8583,-2.1000000000000014
85.00089645385742,52.17,69.1624,-2.1700000000000017
85.50366377830505,52.3,68.1903,-2.299999999999997
86.00115752220154,52.32,67.7517,-2.3200000000000003
86.50213193893433,52.45,66.8203,-2.450000000000003
87.00064134597778,52.48,66.2096,-2.479999999999997
87.50225377082825,52.54,65.5924,-2.539999999999999
88.00135040283203,52.64,64.6871,-2.6400000000000006
88.50158452987671,52.66,64.161,-2.6599999999999966
89.00155115127563,52.74,63.3764,-2.740000000000002
89.50015664100647,52.86,62.3531,-2.8599999999999994
90.00048589706421,52.85,62.0248,-2.8500000000000014
90.50071406364441,52.99,60.9392,-2.990000000000002
91.00194907188416,53.0,60.3608,-3.0
91.50255036354065,53.05,59.7086,-3.049999999999997
92.00032830238342,53.15,58.7243,-3.1499999999999986
92.50202369689941,53.18,58.1314,-3.1799999999999997
93.00302863121033,53.25,57.3357,-3.25
93.50143361091614,53.29,56.5658,-3.289999999999999
94.00051736831665,53.25,56.324,-3.25
94.50196075439453,53.47,54.7423,-3.469999999999999
95.00307869911194,52.86,57.2019,-2.8599999999999994
95.50123453140259,53.05,-48.5448,-3.049999999999997
96.00317883491516,53.14,-49.5453,-3.1400000000000006
96.50333786010742,53.16,-49.932,-3.1599999999999966
97.00393724441528,53.25,-50.0,-3.25
97.50123620033264,53.25,-50.0,-3.25
98.00248622894287,53.26,-49.7507,-3.259999999999998
98.50071215629578,53.33,-50.0,-3.3299999999999983
99.00136756896973,53.31,-49.9995,-3.3100000000000023
99.50284695625305,53.31,-49.8809,-3.3100000000000023
100.00235986709595,53.33,-49.9412,-3.3299999999999983
100.50053763389587,53.32,-49.9856,-3.3200000000000003
101.00393629074097,53.34,-50.0,-3.3400000000000034
101.5024950504303,53.29,-49.9917,-3.289999999999999
102.00212097167969,53.27,-49.9886,-3.270000000000003
102.50276350975037,53.22,-49.8374,-3.219999999999999
103.0037727355957,53.19,-49.9356,-3.1899999999999977
103.50290846824646,53.1,-49.907,-3.1000000000000014
104.00084376335144,53.07,-49.7304,-3.0700000000000003
104.5003650188446,52.99,-49.8711,-2.990000000000002
105.00036191940308,52.94,-49.7959,-2.9399999999999977
105.5016098022461,52.86,-49.742,-2.8599999999999994
106.00259971618652,52.83,-49.8166,-2.8299999999999983
106.50474190711975,52.77,-49.9599,-2.770000000000003
107.00221085548401,52.67,-49.8388,-2.6700000000000017
107.5012435913086,52.57,-49.6499,-2.5700000000000003
108.00626611709595,52.48,-49.6398,-2.479999999999997
108.50572633743286,52.42,-49.6882,-2.4200000000000017
109.00420713424683,52.3,-49.4565,-2.299999999999997
109.50564384460449,52.21,-49.3193,-2.210000000000001
110.00326538085938,52.1,-49.054,-2.1000000000000014
110.50194025039673,52.04,-49.0859,-2.039999999999999
111.00538659095764,51.94,-48.7809,-1.9399999999999977
111.50718355178833,51.86,-48.7549,-1.8599999999999994
112.00046229362488,51.74,-48.4287,-1.740000000000002
112.50478482246399,51.58,-47.8718,-1.5799999999999983
113.00493955612183,51.55,-47.9553,-1.5499999999999972
113.5061149597168,51.39,-47.4175,-1.3900000000000006
114.00188755989075,51.35,-47.3809,-1.3500000000000014
114.5072340965271,51.2,-46.8231,-1.2000000000000028
115.00214290618896,51.1,-46.5029,-1.1000000000000014
115.50785517692566,51.01,-46.2107,-1.009999999999998
116.00878190994263,50.88,-45.6688,-0.8800000000000026
116.50124335289001,50.74,-45.1156,-0.740000000000002
117.00094032287598,50.67,-44.8657,-0.6700000000000017
117.5014214515686,50.5,-44.3257,-0.5
118.0090880393982,50.45,-43.9191,-0.45000000000000284
118.5017659664154,50.26,-43.0247,-0.259999999999998
119.00125241279602,50.19,-42.7167,-0.18999999999999773
119.50630450248718,50.08,-42.1732,-0.0799999999999983
120.00103259086609,49.9,-41.5073,0.10000000000000142
120.50261688232422,49.86,-41.1102,0.14000000000000057
121.0053174495697,49.75,-40.4957,0.25
121.50579977035522,49.63,-39.8408,0.36999999999999744
122.00223350524902,49.53,-39.253,0.46999999999999886
122.50376319885254,49.38,-38.4313,0.6199999999999974
123.00688600540161,49.23,-37.6059,0.7700000000000031
123.50776100158691,49.17,-37.151,0.8299999999999983
124.00449442863464,49.05,-36.4324,0.9500000000000028
124.50111269950867,48.97,-35.8926,1.0300000000000011
125.00520420074463,48.81,-34.9028,1.1899999999999977
125.50470495223999,48.68,-34.0794,1.3200000000000003
126.00122690200806,48.57,-33.3286,1.4299999999999997
126.5047619342804,48.5,-32.7666,1.5
127.0011956691742,48.38,-31.8851,1.6199999999999974
127.50237131118774,48.21,-30.7893,1.7899999999999991
128.0023593902588,48.13,-30.1756,1.8699999999999974
128.50092673301697,48.01,-29.2696,1.990000000000002
129.00326228141785,47.92,-28.4992,2.0799999999999983
129.50314044952393,47.79,-27.5525,2.210000000000001
130.00086307525635,47.67,-26.6212,2.3299999999999983
130.5006821155548,47.52,-25.5094,2.479999999999997
131.00165104866028,47.45,-24.8248,2.549999999999997
131.50197005271912,47.33,-23.7889,2.6700000000000017
132.00369548797607,47.26,-23.082,2.740000000000002
132.50238466262817,47.18,-22.238,2.8200000000000003
133.00344228744507,47.03,-21.2425,2.969999999999999
133.5026478767395,46.94,-20.2113,3.0600000000000023
134.0003764629364,46.87,-19.3142,3.1300000000000026
134.50365734100342,46.74,-18.2126,3.259999999999998
135.0000398159027,46.67,-17.4191,3.3299999999999983
135.501690864563,46.54,-16.2174,3.460000000000001
136.00219082832336,46.39,-14.9846,3.6099999999999994
136.5000422000885,46.35,-14.2217,3.6499999999999986
137.00090885162354,46.23,-13.0445,3.770000000000003
137.5020797252655,46.1,-11.8807,3.8999999999999986
138.00161600112915,46.04,-10.9435,3.960000000000001
138.5021526813507,45.89,-9.6474,4.109999999999999
139.00222253799438,45.86,-8.7927,4.140000000000001
139.5009047985077,45.74,-7.6859,4.259999999999998
140.00118470191956,45.65,-6.4968,4.350000000000001
140.50083875656128,45.58,-5.5476,4.420000000000002
141.00034260749817,45.4,-3.9725,4.600000000000001
141.50112867355347,45.54,-4.0997,4.460000000000001
142.0013735294342,45.03,0.6722,4.969999999999999
142.50004720687866,45.22,0.9997,4.780000000000001
143.00084924697876,45.08,0.4538,4.920000000000002
143.50073099136353,44.66,3.2644,5.340000000000003
144.00187158584595,45.36,0.4294,4.640000000000001
144.5027573108673,45.29,1.5818,4.710000000000001
145.0027678012848,45.11,3.0852,4.890000000000001
145.50261783599854,45.08,3.9497,4.920000000000002
146.00094270706177,44.96,5.3805,5.039999999999999
146.5016152858734,44.87,6.4857,5.130000000000003
147.00176525115967,44.83,7.5365,5.170000000000002
147.50012731552124,44.7,8.9072,5.299999999999997
148.00233817100525,44.64,9.9744,5.359999999999999
148.50241994857788,44.57,11.1866,5.43
149.00021266937256,44.49,12.3486,5.509999999999998
149.50295066833496,44.45,13.3719,5.549999999999997
150.0024859905243,44.35,14.7666,5.649999999999999
150.50255370140076,44.29,15.8011,5.710000000000001
151.00086855888367,44.25,16.9732,5.75
151.5025200843811,44.15,18.3221,5.850000000000001
